index,AÑO,Corregimiento,Centro,MESA,Partido,Cantidad
0,2009.0,CHILIBRE,C.E.B.G. MARÍA LATORRE,3736.0,P.R.D.,46.0
1,2009.0,CHILIBRE,C.E.B.G. MARÍA LATORRE,3737.0,P.R.D.,49.0
2,2009.0,CHILIBRE,C.E.B.G. MARÍA LATORRE,3738.0,P.R.D.,49.0
3,2009.0,CHILIBRE,C.E.F.A.C.E.I RAYITOS DE LUZ,3762.0,P.R.D.,120.0
4,2009.0,CHILIBRE,ESC. ACTIVA VICTORIANO LORENZO,3751.0,P.R.D.,35.0
5,2009.0,CHILIBRE,ESC. CAIMITILLO CENTRO,3739.0,P.R.D.,87.0
6,2009.0,CHILIBRE,ESC. CAIMITILLO CENTRO,3740.0,P.R.D.,89.0
7,2009.0,CHILIBRE,ESC. CAIMITILLO CENTRO,3741.0,P.R.D.,103.0
8,2009.0,CHILIBRE,ESC. CAIMITILLO CENTRO,3742.0,P.R.D.,83.0
9,2009.0,CHILIBRE,ESC. CAIMITILLO CENTRO,3743.0,P.R.D.,75.0
10,2009.0,CHILIBRE,ESC. CAIMITILLO CENTRO,3744.0,P.R.D.,72.0
11,2009.0,CHILIBRE,ESC. CAIMITILLO CENTRO,3745.0,P.R.D.,106.0
12,2009.0,CHILIBRE,ESC. DOMING ROMERO,3761.0,P.R.D.,74.0
13,2009.0,CHILIBRE,ESC. DON BOSCO,3733.0,P.R.D.,51.0
14,2009.0,CHILIBRE,ESC. DON BOSCO,3734.0,P.R.D.,72.0
15,2009.0,CHILIBRE,ESC. DON BOSCO,3735.0,P.R.D.,50.0
16,2009.0,CHILIBRE,ESC. EMBERÁ DRÚA 260,3752.0,P.R.D.,0.0
17,2009.0,CHILIBRE,ESC. JOHN F. KENNEDY,3752.0,P.R.D.,19.0
18,2009.0,CHILIBRE,ESC. JOHN F. KENNEDY,3753.0,P.R.D.,72.0
19,2009.0,CHILIBRE,ESC. JOHN F. KENNEDY,3754.0,P.R.D.,62.0
20,2009.0,CHILIBRE,ESC. JOHN F. KENNEDY,3755.0,P.R.D.,93.0
21,2009.0,CHILIBRE,ESC. JOHN F. KENNEDY,3756.0,P.R.D.,84.0
22,2009.0,CHILIBRE,ESC. JOHN F. KENNEDY,3757.0,P.R.D.,69.0
23,2009.0,CHILIBRE,ESC. JOHN F. KENNEDY,3758.0,P.R.D.,74.0
24,2009.0,CHILIBRE,ESC. JOHN F. KENNEDY,3759.0,P.R.D.,60.0
25,2009.0,CHILIBRE,ESC. NUEVA QDA BENÍTEZ,3748.0,P.R.D.,30.0
26,2009.0,CHILIBRE,ESC. NVO CAIMITILLO,3746.0,P.R.D.,91.0
27,2009.0,CHILIBRE,ESC. NVO CAIMITILLO,3747.0,P.R.D.,91.0
28,2009.0,CHILIBRE,ESC. PRESIDENTE ROOSEVELT,3717.0,P.R.D.,72.0
