index,AÑO,Corregimiento,Centro,MESA,Partido,Cantidad
0,2009.0,CHILIBRE,C.E.B.G. MARÍA LA TORRE,3736.0,P.R.D.,48.0
1,2009.0,CHILIBRE,C.E.B.G. MARÍA LA TORRE,3737.0,P.R.D.,47.0
2,2009.0,CHILIBRE,C.E.B.G. MARÍA LA TORRE,3738.0,P.R.D.,53.0
3,2009.0,CHILIBRE,C.E.F.A.C.E.I RAYITOS DE LUZ,3762.0,P.R.D.,106.0
4,2009.0,CHILIBRE,ESC. BILINGÜE SANTOS JORGE,3701.0,P.R.D.,53.0
5,2009.0,CHILIBRE,ESC. BILINGÜE SANTOS JORGE,3702.0,P.R.D.,85.0
6,2009.0,CHILIBRE,ESC. BILINGÜE SANTOS JORGE,3703.0,P.R.D.,79.0
7,2009.0,CHILIBRE,ESC. BILINGÜE SANTOS JORGE,3704.0,P.R.D.,69.0
8,2009.0,CHILIBRE,ESC. BILINGÜE SANTOS JORGE,3705.0,P.R.D.,95.0
9,2009.0,CHILIBRE,ESC. BILINGÜE SANTOS JORGE,3706.0,P.R.D.,102.0
10,2009.0,CHILIBRE,ESC. BILINGÜE SANTOS JORGE,3707.0,P.R.D.,86.0
11,2009.0,CHILIBRE,ESC. BILINGÜE SANTOS JORGE,3708.0,P.R.D.,80.0
12,2009.0,CHILIBRE,ESC. BILINGÜE SANTOS JORGE,3709.0,P.R.D.,99.0
13,2009.0,CHILIBRE,ESC. BILINGÜE SANTOS JORGE,3710.0,P.R.D.,81.0
14,2009.0,CHILIBRE,ESC. BILINGÜE SANTOS JORGE,3711.0,P.R.D.,98.0
15,2009.0,CHILIBRE,ESC. BILINGÜE SANTOS JORGE,3712.0,P.R.D.,100.0
16,2009.0,CHILIBRE,ESC. BILINGÜE SANTOS JORGE,3713.0,P.R.D.,92.0
17,2009.0,CHILIBRE,ESC. BILINGÜE SANTOS JORGE,3714.0,P.R.D.,79.0
18,2009.0,CHILIBRE,ESC. BILINGÜE SANTOS JORGE,3715.0,P.R.D.,74.0
19,2009.0,CHILIBRE,ESC. BILINGÜE SANTOS JORGE,3716.0,P.R.D.,54.0
20,2009.0,CHILIBRE,ESC. CAIMITILLO CENTRO,3739.0,P.R.D.,68.0
21,2009.0,CHILIBRE,ESC. CAIMITILLO CENTRO,3740.0,P.R.D.,77.0
22,2009.0,CHILIBRE,ESC. CAIMITILLO CENTRO,3741.0,P.R.D.,91.0
23,2009.0,CHILIBRE,ESC. CAIMITILLO CENTRO,3742.0,P.R.D.,77.0
24,2009.0,CHILIBRE,ESC. CAIMITILLO CENTRO,3743.0,P.R.D.,79.0
25,2009.0,CHILIBRE,ESC. CAIMITILLO CENTRO,3744.0,P.R.D.,69.0
26,2009.0,CHILIBRE,ESC. CAIMITILLO CENTRO,3745.0,P.R.D.,102.0
